payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4428131,68422076,12,0,VOUCHER,PAID
4428133,68422092,155.3,4.19,ONLINE,PAID
4428137,68422281,141.6,3.82,ONLINE,PAID
4428142,68422614,180.8,4.88,ONLINE,PAID
4428148,68423110,22.9,0.34,ONLINE,PAID
4428149,68423110,5,0,VOUCHER,PAID
4428150,68423162,119.25,3.22,ONLINE,PAID
4428157,68423436,58.8,1.59,ONLINE,PAID
4428161,68423588,93.7,2.53,ONLINE,PAID
4428164,68423762,85,1.28,ONLINE,PAID
4428166,68423847,77.3,2.09,ONLINE,PAID
4428170,68424216,45.7,0.69,ONLINE,PAID
4428171,68424238,49.9,1.35,ONLINE,PAID
4428174,68424433,137.8,3.72,ONLINE,PAID
4428179,68424547,196.5,5.31,ONLINE,PAID
4428182,68424656,86.3,2.33,ONLINE,PAID
4428184,68424659,281.9,7.61,ONLINE,PAID
4428186,68424660,57,1.14,ONLINE,PAID
4428190,68417646,54.9,0.82,DEBIT,PAID
4428196,68424858,172.6,4.66,ONLINE,PAID
4428197,68425021,161.7,4.37,ONLINE,PAID
4428200,68425058,30.8,0.46,ONLINE,PAID
4428201,68425058,10,0,VOUCHER,PAID
4428210,68425821,192.5,5.2,ONLINE,PAID
4428214,68426187,64.7,1.75,ONLINE,PAID
4428217,68426262,55.9,1.12,ONLINE,PAID
4428218,68426299,340.9,5.11,ONLINE,PAID
4428221,68426376,161.5,4.36,ONLINE,PAID
4428222,68426421,147.3,3.98,ONLINE,PAID
4428223,68426421,8,0,VOUCHER,PAID
4428225,68426427,101.4,2.74,ONLINE,PAID
4428226,68426471,155.3,4.19,ONLINE,PAID
4428234,68426619,113.5,3.06,ONLINE,PAID
4428236,68426696,161.9,4.37,ONLINE,PAID
4428237,68426696,11.9,0,VOUCHER,PAID
4428239,68426996,73.7,1.99,ONLINE,PAID
4428240,68427057,155.7,4.2,ONLINE,PAID
4428243,68427326,122.8,3.32,ONLINE,PAID
4428249,68427588,171.8,4.64,ONLINE,PAID
4428253,68427630,24.8,0.37,ONLINE,PAID
4428254,68427630,12,0,VOUCHER,PAID
4428255,68427637,17.9,0.27,ONLINE,PAID
4428256,68427637,12,0,VOUCHER,PAID
4428262,68427952,56.8,1.53,ONLINE,PAID
4428263,68427968,17.9,0.27,ONLINE,PAID
4428264,68427968,12,0,VOUCHER,PAID
4428271,68428396,115.09,1.73,ONLINE,PAID
4428272,68428396,12,0,VOUCHER,PAID
4428276,68428457,136.75,3.69,ONLINE,PAID
4428280,68428503,106.15,2.87,ONLINE,PAID
4428284,68428566,99.3,2.68,ONLINE,PAID
4428288,68428840,86.8,2.34,ONLINE,PAID
4428296,68429064,128.2,3.46,ONLINE,PAID
4428297,68429127,71.7,1.43,ONLINE,PAID
4428301,68429213,52.9,1.06,ONLINE,PAID
4428303,68429311,5,0,VOUCHER,PAID
4428304,68429364,57.7,1.56,ONLINE,PAID
4428305,68429379,62.7,0.94,ONLINE,PAID
4428308,68429530,11.9,0.18,ONLINE,PAID
4428309,68429530,15,0,VOUCHER,PAID
4428310,68429631,104.7,2.83,ONLINE,PAID
4428314,68429881,155.3,4.19,ONLINE,PAID
4428315,68430224,49.9,1.35,ONLINE,PAID
4428316,68430280,101.2,2.73,ONLINE,PAID
4428319,68430392,91.3,2.47,ONLINE,PAID
4428326,68430487,117.7,3.18,ONLINE,PAID
4428327,68430526,35.8,0.54,ONLINE,PAID
4428328,68430527,187.9,5.07,ONLINE,PAID
4428329,68430552,10,0,VOUCHER,PAID
4428331,68430788,82.25,2.22,ONLINE,PAID
4428338,68431089,31.8,0.48,ONLINE,PAID
4428339,68431089,20,0,VOUCHER,PAID
4428341,68431111,148.39,2.23,ONLINE,PAID
4428342,68431113,24.9,0.5,ONLINE,PAID
4428346,68431370,45.7,0.69,ONLINE,PAID
4428353,68431651,90.72,1.36,ONLINE,PAID
4428354,68431651,15.18,0,VOUCHER,PAID
4428355,68431672,81.6,2.2,ONLINE,PAID
4428356,68431673,132.7,3.58,ONLINE,PAID
4428360,68432080,98.6,2.66,ONLINE,PAID
4428361,68432184,159.7,4.31,ONLINE,PAID
4428362,68432271,45.9,0.92,ONLINE,PAID
4428363,68432272,74.3,2.01,ONLINE,PAID
4428365,68432345,108.6,2.93,ONLINE,PAID
4428367,68432349,151.8,4.1,ONLINE,PAID
4428368,68432360,161.7,4.37,ONLINE,PAID
4428370,68432363,107.2,2.89,ONLINE,PAID
4428371,68432364,68.4,1.85,ONLINE,PAID
4428374,68432421,51.8,1.04,ONLINE,PAID
4428377,68432455,86.8,2.34,ONLINE,PAID
4428378,68432456,49.9,1.35,ONLINE,PAID
4428379,68432509,77.9,1.17,ONLINE,PAID
4428380,68432554,196.8,5.31,ONLINE,PAID
4428383,68432718,107.4,1.61,ONLINE,PAID
4428385,68432907,95.4,2.58,ONLINE,PAID
4428387,68433064,25.9,0.39,ONLINE,PAID
4428391,68433305,68.7,1.37,ONLINE,PAID
4428393,68433359,56.3,1.13,ONLINE,PAID
4428394,68433418,67.8,1.02,ONLINE,PAID
4428402,68433613,86.8,2.34,ONLINE,PAID
4428415,68434112,19.8,0.3,ONLINE,PAID
4428416,68434118,156.8,4.23,ONLINE,PAID
4428417,68434121,203.35,5.49,ONLINE,PAID
4428418,68434135,39.8,0.6,ONLINE,PAID
4428420,68434341,67.8,1.83,ONLINE,PAID
4428422,68434442,112.5,3.04,ONLINE,PAID
4428426,68434497,143.3,3.87,ONLINE,PAID
4428427,68434509,66.9,1,ONLINE,PAID
4428432,68434849,681.6,18.4,ONLINE,PAID
4428433,68434852,144.25,3.89,ONLINE,PAID
4428437,68434998,53.9,1.08,ONLINE,PAID
4428438,68435114,67.9,1.83,ONLINE,PAID
4428439,68435117,31.4,0.63,ONLINE,PAID
4428443,68435186,132.3,3.57,ONLINE,PAID
4428445,68435227,99.8,1.5,ONLINE,PAID
4428446,68435251,86.8,2.34,ONLINE,PAID
4428453,68435318,167.2,4.51,ONLINE,PAID
4428455,68435423,99.25,2.68,ONLINE,PAID
4428460,68423643,88.8,1.33,DEBIT,PAID
4428463,68435750,62.7,0.94,ONLINE,PAID
4428473,68436230,119.25,3.22,ONLINE,PAID
4428474,68436272,56.7,0.85,ONLINE,PAID
4428476,68436387,253.2,6.84,ONLINE,PAID
4428477,68436424,162.4,4.38,ONLINE,PAID
4428483,68436527,68.4,1.85,ONLINE,PAID
4428484,68436531,86.8,2.34,ONLINE,PAID
4428485,68436552,54,0.81,ONLINE,PAID
4428486,68420776,20.4,0.31,DEBIT,PAID
4428488,68436652,27.8,0.42,ONLINE,PAID
4428491,68436696,166.7,4.5,ONLINE,PAID
4428493,68436739,362,9.77,ONLINE,PAID
4428494,68436740,117.7,3.18,ONLINE,PAID
4428495,68436742,189.2,5.11,ONLINE,PAID
4428499,68436885,163.5,4.41,ONLINE,PAID
4428501,68437205,131.6,3.55,ONLINE,PAID
4428503,68437283,130.2,3.52,ONLINE,PAID
4428507,68437365,86.8,2.34,ONLINE,PAID
4428508,68437407,145.2,3.92,ONLINE,PAID
4428510,68437451,91.7,1.83,ONLINE,PAID
4428511,68437454,129.6,3.5,ONLINE,PAID
4428512,68437453,26.9,0.4,ONLINE,PAID
4428514,68429550,154.15,2.93,CREDIT,PAID
4428515,68437524,125.65,3.39,ONLINE,PAID
4428520,68437660,103.7,2.8,ONLINE,PAID
4428524,68437768,111.7,3.02,ONLINE,PAID
4428527,68437859,136.2,3.68,ONLINE,PAID
4428530,68430452,71.8,1.08,DEBIT,PAID
4428533,68437931,36.4,0.98,ONLINE,PAID
4428538,68438068,66.4,1.79,ONLINE,PAID
4428539,68438108,91.8,2.48,ONLINE,PAID
4428540,68438109,181.2,4.89,ONLINE,PAID
4428542,68438198,56.9,1.14,ONLINE,PAID
4428543,68438409,152.3,4.11,ONLINE,PAID
4428544,68438460,54.8,0.82,ONLINE,PAID
4428545,68438460,10,0,VOUCHER,PAID
4428546,68438540,211.2,5.7,ONLINE,PAID
4428548,68438647,50.8,0.76,ONLINE,PAID
4428549,68438647,10,0,VOUCHER,PAID
4428550,68438654,48.8,0.73,ONLINE,PAID
4428555,68438889,174.8,4.72,ONLINE,PAID
4428560,68439120,93,1.86,ONLINE,PAID
4428564,68439210,21.9,0.33,ONLINE,PAID
4428569,68430182,36.9,0.55,DEBIT,PAID
4428579,68439642,105.7,2.85,ONLINE,PAID
4428581,68439699,217.7,5.88,ONLINE,PAID
4428593,68440068,112.15,3.03,ONLINE,PAID
4428595,68440275,34.9,0.52,ONLINE,PAID
4428596,68440320,65.6,0.98,ONLINE,PAID
4428598,68440439,137.95,3.72,ONLINE,PAID
4428601,68440577,91.8,2.48,ONLINE,PAID
4428602,68440579,140.3,3.79,ONLINE,PAID
4428603,68419146,33.7,0.51,DEBIT,PAID
4428605,68440673,17.9,0.27,ONLINE,PAID
4428606,68440673,12,0,VOUCHER,PAID
4428607,68440697,21.9,0.33,ONLINE,PAID
4428608,68432823,39,0.59,ONLINE,PAID
4428609,68440751,186.6,2.8,ONLINE,PAID
4428616,68441035,122.3,3.3,ONLINE,PAID
4428617,68441076,159.4,4.3,ONLINE,PAID
4428619,68441081,170.6,4.61,ONLINE,PAID
4428622,68441235,71.3,1.93,ONLINE,PAID
4428627,68441428,12,0,VOUCHER,PAID
4428629,68429311,45.3,0.68,DEBIT,PAID
4428630,68441526,189,5.1,ONLINE,PAID
4428635,68441630,86.8,2.34,ONLINE,PAID
4428636,68441631,33.8,0.51,ONLINE,PAID
4428637,68441631,8,0,VOUCHER,PAID
4428639,68441676,38,1.03,ONLINE,PAID
4428640,68441676,11.9,0,VOUCHER,PAID
4428642,68441731,67.4,1.35,ONLINE,PAID
4428643,68441760,97.8,1.47,ONLINE,PAID
4428644,68441781,188.3,5.08,ONLINE,PAID
4428645,68441807,179.4,4.84,ONLINE,PAID
4428647,68441810,24.9,0.5,ONLINE,PAID
4428650,68441870,74.3,2.01,ONLINE,PAID
4428651,68441965,117.7,3.18,ONLINE,PAID
4428655,68442124,141.3,3.82,ONLINE,PAID
4428656,68434362,77.35,0,MEAL_BENEFIT,PAID
4428657,68442190,50.8,1.02,ONLINE,PAID
4428659,68442202,67.9,1.02,ONLINE,PAID
4428660,68442223,87.9,2.37,ONLINE,PAID
4428665,68442501,35.8,0.54,ONLINE,PAID
4428674,68442959,105.9,2.86,ONLINE,PAID
4428678,68443456,62.7,0.94,ONLINE,PAID
4428679,68443456,10,0,VOUCHER,PAID
4428680,68443463,68.9,1.86,ONLINE,PAID
4428692,68444027,25.9,0.52,ONLINE,PAID
4428695,68444038,132.8,3.59,ONLINE,PAID
4428696,68444111,26.9,0.4,ONLINE,PAID
4428700,68444148,151.8,4.1,ONLINE,PAID
4428705,68444436,69.8,1.88,ONLINE,PAID
4428708,68444591,68.7,1.03,ONLINE,PAID
4428709,68444599,49.4,1.33,ONLINE,PAID
4428713,68444687,28.9,0.43,ONLINE,PAID
4428718,68444850,160.1,4.32,ONLINE,PAID
4428719,68444862,45.8,0.69,ONLINE,PAID
4428722,68422671,159.9,0,MEAL_BENEFIT,PAID
4428730,68445497,45.19,0.68,ONLINE,PAID
4428733,68445702,73.9,2,ONLINE,PAID
4428738,68445800,170.7,4.61,ONLINE,PAID
4428741,68445893,48.8,0.98,ONLINE,PAID
4428743,68446071,151.3,4.09,ONLINE,PAID
4428749,68446266,129.3,3.49,ONLINE,PAID
4428750,68435369,74.79,1.12,DEBIT,PAID
4428753,68446350,228.3,6.16,ONLINE,PAID
4428755,68446409,93.25,2.52,ONLINE,PAID
4428759,68446638,86.8,1.3,ONLINE,PAID
4428763,68446946,70.4,1.9,ONLINE,PAID
4428765,68447028,175.4,4.74,ONLINE,PAID
4428773,68447320,210.7,5.69,ONLINE,PAID
4428781,68447692,184.2,4.97,ONLINE,PAID
4428782,68447692,11.9,0,VOUCHER,PAID
4428783,68447904,105.7,2.85,ONLINE,PAID
4428791,68447989,271.7,7.34,ONLINE,PAID
4428792,68448064,155.3,4.19,ONLINE,PAID
4428793,68448156,69.4,1.87,ONLINE,PAID
4428799,68448347,99.25,2.68,ONLINE,PAID
4428801,68448397,78.65,2.12,ONLINE,PAID
4428808,68448483,171.9,4.64,ONLINE,PAID
4428809,68448483,8,0,VOUCHER,PAID
4428810,68448484,91.2,2.46,ONLINE,PAID
4428812,68448661,86.8,2.34,ONLINE,PAID
4428814,68448693,32.89,0.49,ONLINE,PAID
4428815,68448693,12,0,VOUCHER,PAID
4428816,68448694,91.3,2.47,ONLINE,PAID
4428817,68448704,45.7,0.69,ONLINE,PAID
4428821,68449067,59,1.18,ONLINE,PAID
4428822,68449158,268.7,7.25,ONLINE,PAID
4428823,68449164,137.7,2.07,ONLINE,PAID
4428824,68449165,25.9,0.39,ONLINE,PAID
4428826,68449192,196.2,5.3,ONLINE,PAID
4428827,68430552,57.8,0.87,CREDIT,PAID
4428828,68449304,129.15,3.49,ONLINE,PAID
4428831,68449372,112.7,3.04,ONLINE,PAID
4428832,68449372,11.9,0,VOUCHER,PAID
4428835,68449555,110.6,2.99,ONLINE,PAID
4428845,68449782,58,1.16,ONLINE,PAID
4428851,68450493,61.79,0.93,ONLINE,PAID
4428852,68450493,12,0,VOUCHER,PAID
4428854,68450634,48.9,0.73,ONLINE,PAID
4428861,68450871,29,0.58,ONLINE,PAID
4428864,68451036,54.9,0.82,ONLINE,PAID
4428865,68451076,151.7,4.1,ONLINE,PAID
4428867,68451149,116.7,3.15,ONLINE,PAID
4428871,68451258,166.65,4.5,ONLINE,PAID
4428876,68451358,49.4,1.33,ONLINE,PAID
4428880,68451505,45.9,0.92,ONLINE,PAID
4428881,68442828,75.8,1.14,CREDIT,PAID
4428882,68451584,111.3,3.01,ONLINE,PAID
4428883,68451632,200.5,5.41,ONLINE,PAID
4428884,68451743,35.8,0.54,ONLINE,PAID
4428892,68442954,29.9,0.45,CREDIT,PAID
4428893,68451887,69.7,1.05,ONLINE,PAID
4428894,68451894,35.8,0.54,ONLINE,PAID
4428896,68451967,78.65,2.12,ONLINE,PAID
4428897,68452050,183.5,4.95,ONLINE,PAID
4428898,68452051,121.4,3.28,ONLINE,PAID
4428899,68452052,117.7,3.18,ONLINE,PAID
4428900,68452054,114.6,3.09,ONLINE,PAID
4428904,68452175,67.5,1.01,ONLINE,PAID
4428908,68452246,179.05,4.83,ONLINE,PAID
4428909,68452247,176.2,4.76,ONLINE,PAID
4428914,68452425,98.2,2.65,ONLINE,PAID
4428916,68452447,49.8,1,ONLINE,PAID
4428918,68452451,82.6,1.24,ONLINE,PAID
4428920,68452454,16.9,0.25,ONLINE,PAID
4428921,68452454,10,0,VOUCHER,PAID
4428923,68452479,188.1,5.08,ONLINE,PAID
4428924,68452508,141.1,3.81,ONLINE,PAID
4428926,68435581,44.8,0.67,DEBIT,PAID
4428930,68441428,18.09,0.27,DEBIT,PAID
4428931,68453108,61.8,1.67,ONLINE,PAID
4428933,68453186,198.3,5.35,ONLINE,PAID
4428934,68453262,106.7,2.88,ONLINE,PAID
4428936,68453149,94.22,1.41,STORE_DIRECT_PAYMENT,PAID
4428944,68453598,224.2,6.05,ONLINE,PAID
4428948,68443528,44.4,0.67,DEBIT,PAID
4428957,68453961,29.9,0.45,ONLINE,PAID
4428958,68453999,407,10.99,ONLINE,PAID
4428960,68454205,111.7,3.02,ONLINE,PAID
4428962,68454307,151.3,4.09,ONLINE,PAID
4428963,68447423,35.8,0.54,DEBIT,PAID
4428965,68454369,154.05,4.16,ONLINE,PAID
4428971,68442941,71.6,1.07,DEBIT,PAID
4428976,68454515,31.4,0.63,ONLINE,PAID
4428978,68454552,55.8,0.84,ONLINE,PAID
4428979,68454481,20,0.26,VOUCHER_STORE,PAID
4428985,68454767,86.8,2.34,ONLINE,PAID
4428986,68454768,112.9,3.05,ONLINE,PAID
4428993,68455169,48.8,0.73,ONLINE,PAID
4428994,68455169,8,0,VOUCHER,PAID
4428998,68455270,106.8,2.88,ONLINE,PAID
4428999,68455272,71.6,1.93,ONLINE,PAID
4429000,68455353,64.57,0.97,STORE_DIRECT_PAYMENT,PAID
4429005,68456156,196.8,5.31,ONLINE,PAID
4429011,68456270,31.99,0.48,ONLINE,PAID
4429012,68456270,12,0,VOUCHER,PAID
4429013,68456331,71.6,1.07,ONLINE,PAID
4429014,68456344,275,7.43,ONLINE,PAID
4429015,68456347,116.7,3.15,ONLINE,PAID
4429016,68439472,68.7,0.93,DEBIT,PAID
4429033,68456996,28,0.56,ONLINE,PAID
4429034,68449298,29.9,0.45,DEBIT,PAID
4429038,68457071,118.6,3.2,ONLINE,PAID
4429040,68457114,60.59,0.91,ONLINE,PAID
4429042,68457154,78.9,1.18,ONLINE,PAID
4429043,68457214,63.89,0.96,ONLINE,PAID
4429045,68457267,107.8,1.62,ONLINE,PAID
4429049,68457393,141.5,3.82,ONLINE,PAID
4429053,68445065,26.9,0.4,DEBIT,PAID
4429058,68457717,57.8,1.56,ONLINE,PAID
4429059,68457718,186.2,5.03,ONLINE,PAID
4429061,68457722,61.4,1.66,ONLINE,PAID
4429065,68458232,76.3,2.06,ONLINE,PAID
4429067,68458284,126.4,3.41,ONLINE,PAID
4429068,68458284,10,0,VOUCHER,PAID
4429078,68458833,119.6,1.79,ONLINE,PAID
4429084,68458971,196.8,5.31,ONLINE,PAID
4429085,68459049,67.8,1.02,ONLINE,PAID
4429090,68459178,44.7,0.67,ONLINE,PAID
4429091,68459220,197.95,5.34,ONLINE,PAID
4429092,68459306,66.8,1,ONLINE,PAID
4429095,68459647,21.9,0.33,ONLINE,PAID
4429100,68459982,248.4,6.71,ONLINE,PAID
4429103,68460164,99.25,2.68,ONLINE,PAID
4429104,68460223,87.25,2.36,ONLINE,PAID
4429105,68460278,29.9,0.6,ONLINE,PAID
4429106,68460376,18.8,0.38,ONLINE,PAID
4429107,68460376,8,0,VOUCHER,PAID
4429108,68460440,67.8,1.83,ONLINE,PAID
4429113,68460539,13.9,0.21,ONLINE,PAID
4429114,68460539,12,0,VOUCHER,PAID
4429120,68461004,58,1.16,ONLINE,PAID
4429121,68461058,191.6,5.17,ONLINE,PAID
4429122,68461139,61.8,1.67,ONLINE,PAID
4429123,68461215,49.9,1,ONLINE,PAID
4429129,68461568,32.4,0.65,ONLINE,PAID
4429130,68461581,53.8,0.81,ONLINE,PAID
4429131,68451777,125.4,1.69,DEBIT,PAID
4429133,68461637,45.9,0.92,ONLINE,PAID
4429134,68461688,76.7,1.15,ONLINE,PAID
4429137,68461936,111.8,3.02,ONLINE,PAID
4429138,68437423,121.8,1.83,DEBIT,PAID
4429140,68462093,116.4,1.75,ONLINE,PAID
4429141,68462099,33.8,0.51,ONLINE,PAID
4429142,68462102,94.7,1.42,ONLINE,PAID
4429144,68462133,197.3,5.33,ONLINE,PAID
4429146,68462267,117.6,3.18,ONLINE,PAID
4429148,68462324,11.9,0.18,ONLINE,PAID
4429149,68462324,20,0,VOUCHER,PAID
4429150,68462325,208.3,5.62,ONLINE,PAID
4429154,68462758,66.4,1.79,ONLINE,PAID
4429156,68462845,86.35,2.33,ONLINE,PAID
4429157,68462846,86.7,2.34,ONLINE,PAID
4429159,68462957,99.3,2.68,ONLINE,PAID
4429163,68463108,145.3,3.92,ONLINE,PAID
4429164,68463109,120.25,3.25,ONLINE,PAID
4429166,68463202,49.9,1.35,ONLINE,PAID
4429171,68463387,69.39,1.04,ONLINE,PAID
4429172,68463388,138.3,3.73,ONLINE,PAID
4429173,68463388,17,0,VOUCHER,PAID
4429176,68463612,118.3,3.19,ONLINE,PAID
4429177,68463631,192.1,5.19,ONLINE,PAID
4429180,68463752,35.8,0.54,ONLINE,PAID
4429183,68463903,89.8,2.42,ONLINE,PAID
4429185,68463992,35.8,0.54,ONLINE,PAID
4429186,68464135,125.9,3.4,ONLINE,PAID
4429187,68464135,11.9,0,VOUCHER,PAID
4429189,68456909,29.9,0.45,DEBIT,PAID
4429191,68464291,116.8,3.15,ONLINE,PAID
4429193,68464303,137.35,3.71,ONLINE,PAID
4429194,68464303,11.9,0,VOUCHER,PAID
4429195,68464304,30.9,0.46,ONLINE,PAID
4429197,68457787,42.8,0.64,DEBIT,PAID
4429198,68464416,101.8,2.75,ONLINE,PAID
4429199,68464417,110.2,2.98,ONLINE,PAID
4429200,68464418,133.3,3.6,ONLINE,PAID
4429201,68464454,58.8,1.59,ONLINE,PAID
4429202,68464492,70.4,1.9,ONLINE,PAID
4429204,68464554,44.7,0.67,ONLINE,PAID
4429205,68464570,128.3,3.46,ONLINE,PAID
4429207,68464650,91.8,2.48,ONLINE,PAID
4429212,68464727,74.9,1.12,ONLINE,PAID
4429213,68464806,117.7,3.18,ONLINE,PAID
4429215,68464953,74.49,1.12,ONLINE,PAID
4429216,68464981,74.8,2.02,ONLINE,PAID
4429222,68465139,56.8,1.53,ONLINE,PAID
4429223,68465368,103.7,2.8,ONLINE,PAID
4429227,68465593,103.9,2.81,ONLINE,PAID
4429229,68465604,119.25,3.22,ONLINE,PAID
4429231,68465626,58.59,0.88,ONLINE,PAID
4429236,68465683,134.65,3.64,ONLINE,PAID
4429237,68465692,46.8,1.26,ONLINE,PAID
4429239,68465722,78.65,2.12,ONLINE,PAID
4429243,68465795,135.7,2.04,ONLINE,PAID
4429245,68465908,55.8,0.84,ONLINE,PAID
4429248,68465968,156.8,4.23,ONLINE,PAID
4429250,68466108,10,0,VOUCHER,PAID
4429251,68466202,113.6,1.7,ONLINE,PAID
4429252,68458710,33.9,0.51,DEBIT,PAID
4429253,68466335,74.8,2.02,ONLINE,PAID
4429256,68466707,91.6,2.47,ONLINE,PAID
4429257,68466754,149.05,4.02,ONLINE,PAID
4429260,68466880,64.79,0.97,ONLINE,PAID
4429262,68466984,36.4,0.98,ONLINE,PAID
4429268,68467361,167.75,4.53,ONLINE,PAID
4429272,68467597,83.8,2.26,ONLINE,PAID
4429276,68467605,56.8,1.53,ONLINE,PAID
4429279,68467656,64.4,1.74,ONLINE,PAID
4429281,68467873,20,0,VOUCHER,PAID
4429287,68468306,171.6,4.63,ONLINE,PAID
4429291,68468560,98.5,1.48,ONLINE,PAID
4429302,68468914,86.9,2.35,ONLINE,PAID
4429317,68469540,70.4,1.9,ONLINE,PAID
4429318,68469541,185.2,5,ONLINE,PAID
4429319,68469643,18.7,0.28,ONLINE,PAID
4429323,68469938,74.6,1.12,ONLINE,PAID
4429330,68470373,88.7,2.39,ONLINE,PAID
4429331,68470384,57.8,1.56,ONLINE,PAID
4429335,68458664,51.69,0.78,DEBIT_STORE,PAID
4429338,68470436,172.8,4.67,ONLINE,PAID
4429339,68470448,68.69,1.03,ONLINE,PAID
4429340,68470461,265,7.16,ONLINE,PAID
4429341,68470483,87.9,2.37,ONLINE,PAID
4429345,68470822,87.25,2.36,ONLINE,PAID
4429346,68456004,29.9,0.45,DEBIT,PAID
4429351,68470961,46.79,0.7,ONLINE,PAID
4429352,68470961,12,0,VOUCHER,PAID
4429360,68471180,241.7,6.53,ONLINE,PAID
4429362,68471231,128.9,3.48,ONLINE,PAID
4429367,68471445,99.4,2.68,ONLINE,PAID
4429369,68471498,61.8,1.67,ONLINE,PAID
4429370,68471499,233.9,6.32,ONLINE,PAID
4429371,68471507,29.9,0.45,ONLINE,PAID
4429373,68471643,101.7,1.53,ONLINE,PAID
4429374,68471753,152.15,4.11,ONLINE,PAID
4429375,68471785,27.9,0.42,ONLINE,PAID
4429379,68472317,103.6,2.8,ONLINE,PAID
4429388,68472836,50.8,0.76,ONLINE,PAID
4429389,68472836,10,0,VOUCHER,PAID
4429391,68472872,307.6,8.31,ONLINE,PAID
4429397,68473268,103.7,2.8,ONLINE,PAID
4429400,68473404,145.3,3.92,ONLINE,PAID
4429403,68462949,60.8,0.91,DEBIT,PAID
4429406,68465084,158.1,2.13,DEBIT,PAID
4429408,68474116,369.6,9.98,ONLINE,PAID
4429409,68474446,67.4,1.82,ONLINE,PAID
4429416,68474719,120.7,3.26,ONLINE,PAID
4429418,68474758,72.7,1.09,ONLINE,PAID
4429419,68474853,161.8,4.37,ONLINE,PAID
4429422,68466108,57.8,0.87,DEBIT,PAID
4429424,68475082,119.1,3.22,ONLINE,PAID
4429425,68475170,107.2,2.89,ONLINE,PAID
4429426,68475271,127.5,1.91,ONLINE,PAID
4429430,68475584,173.4,2.6,ONLINE,PAID
4429434,68475728,70.4,1.9,ONLINE,PAID
4429436,68475736,62.8,1.7,ONLINE,PAID
4429437,68467594,60.4,0.82,DEBIT,PAID
4429438,68475894,134.95,3.64,ONLINE,PAID
4429439,68475901,89.32,1.34,STORE_DIRECT_PAYMENT,PAID
4429442,68476080,156.7,4.23,ONLINE,PAID
